mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Oursinite,Co^2+^(U^6+^O_2_)_2_(SiO_3_OH)_2_·6H_2_O,Co(UO<sub>2</sub>)<sub>2</sub>(SiO<sub>3</sub>OH)<sub>2</sub>·6H<sub>2</sub>O,Co U O Si H
Overite,CaMgAl(PO_4_)_2_(OH)·4H_2_O,CaMgAl(PO<sub>4</sub>)<sub>2</sub>(OH)·4H<sub>2</sub>O,Ca Mg Al P O H
Oxammite,(N^3-^H_4_)_2_(C_2_)^6+^O_4_·H_2_O,(NH<sub>4</sub>)<sub>2</sub>(C<sub>2</sub>O<sub>4</sub>)·H<sub>2</sub>O,N H C O
Oyelite,Ca_5_BSi_4_O_13_(OH)_3_·4H_2_O,Ca<sub>5</sub>BSi<sub>4</sub>O<sub>13</sub>(OH)<sub>3</sub>·4H<sub>2</sub>O,Ca B Si O H
Paceite,CaCu(CH_3_COO)_2_·6H_2_O,CaCu(CH<sub>3</sub>COO)<sub>4</sub>·6H<sub>2</sub>O,Ca Cu C H O
Pachnolite,NaCaAlF_6_·H_2_O,NaCaAlF<sub>6</sub>·H<sub>2</sub>O,Na Ca Al F H O
Packratite,Ca_11_(As^3+^V^5+^_10_V^4+^_2_As^5+^_6_O_51_)_2_·83H_2_O,Ca<sub>11</sub>(As<sup>3+</sup>V<sup>5+</sup><sub>10</sub>V<sup>4+</sup><sub>2</sub>As<sup>5+</sup><sub>6</sub>O<sub>51</sub>)<sub>2</sub>·83H<sub>2</sub>O,Ca As V O H
Pahasapaite,"Li_8_(Ca,Li,K)_10.5_Be_24_(PO_4_)_24_·38H_2_O","Li<sub>8</sub>(Ca,Li,K)<sub>10</sub>Be<sub>24</sub>(PO<sub>4</sub>)<sub>24</sub>·38H<sub>2</sub>O",Li Ca K Be P O H
Pakhomovskyite,Co^2+^_3_(P^5+^O_4_)_2_·8H_2_O,Co<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Co P O H
Palygorskite,"(Mg,Al)_2_Si_4_O_10_(OH)·4H_2_O","(Mg,Al)<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>(OH)·4H<sub>2</sub>O",Mg Al Si O H
Para-alumohydrocalcite,CaAl_2_(CO_3_)_2_(OH)_4_·6H_2_O,CaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Ca Al C O H
Parabrandtite,Ca_2_Mn^2+^(As^5+^O_4_)_2_·2H_2_O,Ca<sub>2</sub>Mn<sup>2+</sup>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Mn As O H
Parabutlerite,Fe^3+^S^6+^O_4_(OH)·2H_2_O,Fe<sup>3+</sup>(SO<sub>4</sub>)(OH)·2H<sub>2</sub>O,Fe S O H
Paracoquimbite,Fe^3+^_2_(S^6+^O_4_)_3_·9H_2_O,Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>·9H<sub>2</sub>O,Fe S O H
Parafransoletite,Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O,Ca<sub>3</sub>Be<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O,Ca Be P O H
Parahopeite,Zn^2+^_3_(P^5+^O_4_)_2_·4H_2_O,Zn<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Zn P O H
Paramendozavilite,NaAl_4_Fe^3+^_7_(PO_4_)_5_(P^5+^Mo^6+^_12_O_40_)(OH)_16_·56H_2_O,NaAl<sub>4</sub>Fe<sub>7</sub>(PO<sub>4</sub>)<sub>5</sub>(PMo<sub>12</sub>O<sub>40</sub>)(OH)<sub>16</sub>·56H<sub>2</sub>O,Na Al Fe P O Mo H
Paranatrolite,Na_2_(Si_3_Al_2_)O_10_·3H_2_O,Na<sub>2</sub>(Si<sub>3</sub>Al<sub>2</sub>)O<sub>10</sub>·3H<sub>2</sub>O,Na Si Al O H
Pararaisaite,Cu^2+^Mg[Te^6+^O_4_(OH)_2_]·6H_2_O,CuMg[Te<sup>6+</sup>O<sub>4</sub>(OH)<sub>2</sub>]·6H<sub>2</sub>O,Cu Mg Te O H
Pararobertsite,Ca_2_Mn^3+^_3_O_2_(PO_4_)_3_·3H_2_O,Ca<sub>2</sub>Mn<sup>3+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>3</sub>O<sub>2</sub>·3H<sub>2</sub>O,Ca Mn P O H
Parascholzite,CaZn^2+^_2_(P^5+^O_4_)_2_·2H_2_O,CaZn<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Zn P O H
Parascorodite,Fe^3+^As^5+^O_4_·2H_2_O,Fe<sup>3+</sup>(AsO<sub>4</sub>)·2H<sub>2</sub>O,Fe As O H
Parasibirskite,CaHBO_3_,Ca<sub>2</sub>B<sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O,Ca B O H
Parasymplesite,Fe^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Fe<sup>2+</sup><sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Fe As O H
Paratsepinite-Na,"(Na,Sr,K,Ca)_2_(Ti^4+^,Nb^5+^)_2_(Si_4_O_12_)(O,OH)_2_·4H_2_O","(Na,Sr,K,Ca)<sub>2</sub>(Ti,Nb)<sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)(O,OH)<sub>2</sub>·4H<sub>2</sub>O",Na Sr K Ca Ti Nb Si O H
Paraumbite,K_3_Zr^4+^_2_H(Si_3_O_9_)_2_·3H_2_O,K<sub>3</sub>Zr<sub>2</sub>H(Si<sub>3</sub>O<sub>9</sub>)<sub>2</sub>·3H<sub>2</sub>O,K Zr H Si O
Paravauxite,Fe^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O,Fe<sup>2+</sup>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Fe Al P O H
Paravinogradovite,"(Na,[box])_2_(Ti^4+^,Fe^3+^)_4_(Si_2_O_6_)_2_(Si_3_AlO_10_)(OH)_4_·H_2_O","(Na,[box])<sub>2</sub>(Ti<sup>4+</sup>,Fe<sup>3+</sup>)<sub>4</sub>(Si<sub>2</sub>O<sub>6</sub>)<sub>2</sub>(Si<sub>3</sub>AlO<sub>10</sub>)(OH)<sub>4</sub>·H<sub>2</sub>O",Na Ti Fe Si O Al H
Parnauite,Cu^2+^_9_(As^5+^O_4_)_2_(S^6+^O_4_)(OH)_10_·7H_2_O,Cu<sub>9</sub>(AsO<sub>4</sub>)<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·7H<sub>2</sub>O,Cu As O S H
Parwanite,NaMg_4_Al_8_(PO_4_)_8_(CO_3_)(OH)_7_·30H_2_O,NaMg<sub>4</sub>Al<sub>8</sub>(PO<sub>4</sub>)<sub>8</sub>(CO<sub>3</sub>)(OH)<sub>7</sub>·30H<sub>2</sub>O,Na Mg Al P O C H
Pascoite,Ca_3_V^5+^_10_O_28_·17H_2_O,Ca<sub>3</sub>V<sup>5+</sup><sub>10</sub>O<sub>28</sub>·17H<sub>2</sub>O,Ca V O H
Pattersonite,Pb^2+^Fe^3+^_3_(P^5+^O_4_)_2_(OH)_5_·H_2_O,PbFe<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>5</sub>·H<sub>2</sub>O,Pb Fe P O H
Paulingite-Ca,"(Ca,K,Na,Ba,[box])_10_(Si,Al)_42_O_84_·34H_2_O","(Ca,K,Na,Ba,[box])<sub>10</sub>(Si,Al)<sub>42</sub>O<sub>84</sub>·34H<sub>2</sub>O",Ca K Na Ba Si Al O H
Paulingite-K,"(K,Ca,Na,Ba,[box])_10_(Si,Al)_42_O_84_·34H_2_O","(K,Ca,Na,Ba,[box])<sub>10</sub>(Si,Al)<sub>42</sub>O<sub>84</sub>·34H<sub>2</sub>O",K Ca Na Ba Si Al O H
Paulkerrite,KMg_2_Ti^4+^Fe^3+^_2_(PO_4_)_4_(OH)_3_·15H_2_O,KMg<sub>2</sub>TiFe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>3</sub>·15H<sub>2</sub>O,K Mg Ti Fe P O H
Penberthycroftite,[Al_6_(As^5+^O_4_)_3_(OH)_9_(H_2_O)_5_]·8H_2_O,[Al<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>9</sub>(H<sub>2</sub>O)<sub>5</sub>]·8H<sub>2</sub>O,Al As O H
Penkvilksite,Na_4_Ti^4+^_2_Si_8_O_22_·4H_2_O,Na<sub>2</sub>TiSi<sub>4</sub>O<sub>11</sub>·2H<sub>2</sub>O,Na Ti Si O H
Penobsquisite,Ca_2_Fe^2+^[B_9_O_13_(OH)_6_]Cl·4H_2_O,Ca<sub>2</sub>Fe<sup>2+</sup>[B<sub>9</sub>O<sub>13</sub>(OH)<sub>6</sub>]Cl·4H<sub>2</sub>O,Ca Fe B O H Cl
Pentahydrite,MgS^6+^O_4_·5H_2_O,Mg(SO<sub>4</sub>)·5H<sub>2</sub>O,Mg S O H
Pentahydroborite,CaB_2_O(OH)_6_·2H_2_O,CaB<sub>2</sub>O(OH)<sub>6</sub>·2H<sub>2</sub>O,Ca B O H
Peretaite,CaSb^3+^_4_O_4_(SO_4_)_2_(OH)_2_·2H_2_O,CaSb<sup>3+</sup><sub>4</sub>O<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O,Ca Sb O S H
Perhamite,Ca_3_Al_7.7_Si_3_P_4_O_23.5_(OH)_14.1_·8H_2_O,Ca<sub>3</sub>Al<sub>7.7</sub>Si<sub>3</sub>P<sub>4</sub>O<sub>23.5</sub>(OH)<sub>14.1</sub>·8H<sub>2</sub>O,Ca Al Si P O H
Perlialite,K_9_NaCa(Si_24_Al_12_)O_72_·15H_2_O,K<sub>9</sub>NaCa(Si<sub>24</sub>Al<sub>12</sub>)O<sub>72</sub>·15H<sub>2</sub>O,K Na Ca Si Al O H
Pertlikite,"K_2_(Fe^2+^,Mg)_2_(Mg,Fe^3+^)_4_Fe^3+^_2_Al(SO_4_)_12_·18H_2_O","K<sub>2</sub>(Fe<sup>2+</sup>,Mg)<sub>2</sub>(Mg,Fe<sup>3+</sup>)<sub>4</sub>Fe<sup>3+</sup><sub>2</sub>Al(SO<sub>4</sub>)<sub>12</sub>·18H<sub>2</sub>O",K Fe Mg Al S O H
Petarasite,"Na_5_Zr^4+^_2_Si_6_O_18_(Cl,OH)·2H_2_O","Na<sub>5</sub>Zr<sub>2</sub>Si<sub>6</sub>O<sub>18</sub>(Cl,OH)·2H<sub>2</sub>O",Na Zr Si O Cl H
Peterandresenite,Mn^2+^_4_Nb^5+^_6_O_19_·14H_2_O,Mn<sub>4</sub>Nb<sub>6</sub>O<sub>19</sub>·14H<sub>2</sub>O,Mn Nb O H
Peterbaylissite,Hg_3_CO_3_(OH)·2H_2_O,Hg<sub>3</sub>(CO<sub>3</sub>)(OH)·2H<sub>2</sub>O,Hg C O H
Petersite-(Y),Cu^2+^_6_Y(PO_4_)_3_(OH)_6_·3H_2_O,Cu<sub>6</sub>Y(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Cu Y P O H
Petterdite,Pb^2+^Cr^3+^_2_(CO_3_)_2_(OH)_4_·H_2_O,PbCr<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·H<sub>2</sub>O,Pb Cr C O H
Pharmacoalumite,KAl_4_(As^5+^O_4_)_3_(OH)_4_·6.5H_2_O,KAl<sub>4</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>·6.5H<sub>2</sub>O,K Al As O H
Pharmacolite,Ca(As^5+^O_3_OH)·2H_2_O,Ca(AsO<sub>3</sub>OH)·2H<sub>2</sub>O,Ca As O H
Phaunouxite,Ca_3_(As^5+^O_4_)_2_·11H_2_O,Ca<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·11H<sub>2</sub>O,Ca As O H
Philipsburgite,"(Cu^2+^,Zn^2+^)_6_(As^5+^O_4_,PO_4_)_2_(OH)_6_·H_2_O","(Cu,Zn)<sub>6</sub>(AsO<sub>4</sub>,PO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·H<sub>2</sub>O",Cu Zn As O P H
Phillipsite-Ca,Ca_3_(Si_10_Al_6_)O_32_·12H_2_O,Ca<sub>3</sub>(Si<sub>10</sub>Al<sub>6</sub>)O<sub>32</sub>·12H<sub>2</sub>O,Ca Si Al O H
Phillipsite-K,K_6_(Si_10_Al_6_)O_32_·12H_2_O,K<sub>6</sub>(Si<sub>10</sub>Al<sub>6</sub>)O<sub>32</sub>·12H<sub>2</sub>O,K Si Al O H
Phillipsite-Na,Na_6_(Si_10_Al_6_)O_32_·12H_2_O,Na<sub>6</sub>(Si<sub>10</sub>Al<sub>6</sub>)O<sub>32</sub>·12H<sub>2</sub>O,Na Si Al O H
Phosphoferrite,Fe^2+^_3_(PO_4_)_2_·3H_2_O,Fe<sup>2+</sup><sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·3H<sub>2</sub>O,Fe P O H
Phosphofibrite,(K_0.5_(H_2_O)_3_)Fe^3+^_8_(PO_4_)_6_(OH)_6.5_·6.5H_2_O,"(H<sub>2</sub>O,K)<sub>3.5</sub>Fe<sup>3+</sup><sub>8</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>7</sub>·5H<sub>2</sub>O",H O K Fe P
Phosphophyllite,Zn^2+^_2_Fe^2+^(P^5+^O_4_)_2_·4H_2_O,Zn<sub>2</sub>Fe<sup>2+</sup>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Zn Fe P O H
Phosphorrosslerite,Mg(PO_3_OH)·7H_2_O,Mg(PO<sub>3</sub>OH)·7H<sub>2</sub>O,Mg P O H
Phosphosiderite,Fe^3+^PO_4_·2H_2_O,Fe<sup>3+</sup>(PO<sub>4</sub>)·2H<sub>2</sub>O,Fe P O H
Phosphowalpurgite,(UO_2_)Bi_4_O_4_(PO_4_)_2_·2H_2_O,(UO<sub>2</sub>)Bi<sub>4</sub>O<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,U O Bi P H
Phosphuranylite,KCa(H_3_O)_3_(UO_2_)_7_(PO_4_)_4_O_4_·8H_2_O,KCa(H<sub>3</sub>O)<sub>3</sub>(UO<sub>2</sub>)<sub>7</sub>(PO<sub>4</sub>)<sub>4</sub>O<sub>4</sub>·8H<sub>2</sub>O,K Ca H O U P
Phurcalite,Ca_2_(UO_2_)_3_O_2_(PO_4_)_2_·7H_2_O,Ca<sub>2</sub>(UO<sub>2</sub>)<sub>3</sub>O<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·7H<sub>2</sub>O,Ca U O P H
Phyllotungstite,HCaFe^3+^_3_(WO_4_)_6_·10H_2_O,HCaFe<sup>3+</sup><sub>3</sub>(WO<sub>4</sub>)<sub>6</sub>·10H<sub>2</sub>O,H Ca Fe W O
Pickeringite,MgAl_2_(SO_4_)_4_·22H_2_O,MgAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·22H<sub>2</sub>O,Mg Al S O H
Picromerite,K_2_Mg(SO_4_)_2_·6H_2_O,K<sub>2</sub>Mg(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,K Mg S O H
Picropharmacolite,Ca_4_Mg(As^5+^O_3_OH)_2_(As^5+^O_4_)_2_·11H_2_O,Ca<sub>4</sub>Mg(AsO<sub>3</sub>OH)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·11H<sub>2</sub>O,Ca Mg As O H
Pigotite,Al_4_C_6_H_5_O_10_·13H_2_O (?),Al<sub>4</sub>C<sub>6</sub>H<sub>5</sub>O<sub>10</sub>·13H<sub>2</sub>O (?),Al C H O
Pintadoite,Ca_2_V^5+^_2_O_7_·9H_2_O,Ca<sub>2</sub>V<sup>5+</sup><sub>2</sub>O<sub>7</sub>·9H<sub>2</sub>O,Ca V O H
Piretite,Ca(UO_2_)_3_(Se^4+^O_3_)_2_(OH)_4_·4H_2_O,Ca(UO<sub>2</sub>)<sub>3</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O,Ca U O Se H
Pirssonite,Na_2_Ca(CO_3_)_2_·2H_2_O,Na<sub>2</sub>Ca(CO<sub>3</sub>)<sub>2</sub>·2H<sub>2</sub>O,Na Ca C O H
Pitiglianoite,K_2_Na_6_(Si_6_Al_6_)O_24_(SO_4_)·2H_2_O,K<sub>2</sub>Na<sub>6</sub>(Si<sub>6</sub>Al<sub>6</sub>)O<sub>24</sub>(SO<sub>4</sub>)·2H<sub>2</sub>O,K Na Si Al O S H
Plancheite,Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_·H_2_O,Cu<sub>8</sub>(Si<sub>4</sub>O<sub>11</sub>)<sub>2</sub>(OH)<sub>4</sub>·H<sub>2</sub>O,Cu Si O H
Planerite,Al_6_(PO_4_)_2_(PO_3_OH)_2_(OH)_8_·4H_2_O,Al<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)<sub>2</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,Al P O H
Plasilite,Na(U^6+^O_2_)(S^6+^O_4_)(OH)·2H_2_O,Na(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)·2H<sub>2</sub>O,Na U O S H
Plumboagardite,"Cu^2+^_6_(Pb^2+^,La^3+^,Nd^3+^,Ce^3+^,Ca)(As^5+^O_4_)_3_(OH)_6_·3H_2_O","(Pb,REE,Ca)Cu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O",Pb REE Ca Cu As O H
Plumbophyllite,Pb_2_Si_4_O_10_·H_2_O,Pb<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>·H<sub>2</sub>O,Pb Si O H
Poitevinite,Cu^2+^SO_4_·H_2_O,Cu(SO<sub>4</sub>)·H<sub>2</sub>O,Cu S O H
Polyhalite,K_2_Ca_2_Mg(SO_4_)_4_·2H_2_O,K<sub>2</sub>Ca<sub>2</sub>Mg(SO<sub>4</sub>)<sub>4</sub>·2H<sub>2</sub>O,K Ca Mg S O H
Poppiite,"Ca_2_V^3+^V^3+^_2_(Si_2_O_7_)(SiO_4_)(OH,O)_2_·H_2_O","Ca<sub>2</sub>V<sup>3+</sup>V<sup>3+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)(OH,O)<sub>2</sub>·H<sub>2</sub>O",Ca V Si O H
Posnjakite,Cu^2+^_4_S^6+^O_4_(OH)_6_·H_2_O,Cu<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>·H<sub>2</sub>O,Cu S O H
Postite,Mg(H_2_O)_6_Al_2_(OH)_2_(H_2_O)_8_(V^5+^_10_O_28_)·13H_2_O,Mg(H<sub>2</sub>O)<sub>6</sub>Al<sub>2</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>8</sub>(V<sub>10</sub>O<sub>28</sub>)·13H<sub>2</sub>O,Mg H O Al V
Poughite,Fe^3+^_2_(Te^4+^O_3_)_2_S^6+^O_4_·3H_2_O,Fe<sup>3+</sup><sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>(SO<sub>4</sub>)·3H<sub>2</sub>O,Fe Te O S H
Pracharite,CaSb^5+^_2_(As^3+^_2_O_5_)_2_O_2_·10H_2_O,CaSb<sup>5+</sup><sub>2</sub>(As<sup>3+</sup><sub>2</sub>O<sub>5</sub>)<sub>2</sub>O<sub>2</sub>·10H<sub>2</sub>O,Ca Sb As O H
Pradetite,Co^2+^Cu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O,CoCu<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·9H<sub>2</sub>O,Co Cu As O H
Priceite,Ca_2_B_5_O_7_(OH)_5_·H_2_O,Ca<sub>2</sub>B<sub>5</sub>O<sub>7</sub>(OH)<sub>5</sub>·H<sub>2</sub>O,Ca B O H
Pringleite,Ca_9_B_26_O_34_(OH)_24_Cl_4_·13H_2_O,Ca<sub>9</sub>B<sub>26</sub>O<sub>34</sub>(OH)<sub>24</sub>Cl<sub>4</sub>·13H<sub>2</sub>O,Ca B O H Cl
Probertite,NaCaB_5_O_7_(OH)_4_·3H_2_O,NaCaB<sub>5</sub>O<sub>7</sub>(OH)<sub>4</sub>·3H<sub>2</sub>O,Na Ca B O H
Prosperite,Ca_2_Zn^2+^_4_(As^5+^O_4_)_4_·H_2_O,Ca<sub>2</sub>Zn<sub>4</sub>(AsO<sub>4</sub>)<sub>4</sub>·H<sub>2</sub>O,Ca Zn As O H
Protasite,Ba(UO_2_)_3_O_3_(OH)_2_·3H_2_O,Ba(UO<sub>2</sub>)<sub>3</sub>O<sub>3</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O,Ba U O H
Przhevalskite,Pb^2+^(U^6+^O_2_)_2_(P^5+^O_4_)_2_·4H_2_O,Pb(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Pb U O P H
Pseudojohannite,Cu^2+^_3_(U^6+^O_2_)_4_O_4_(S^6+^O_4_)_2_(OH)_2_·12H_2_O,Cu<sub>3</sub>(OH)<sub>2</sub>[(UO<sub>2</sub>)<sub>4</sub>O<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>]·12H<sub>2</sub>O,Cu O H U S
Pseudolaueite,Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Mn Fe P O H
Pseudomarkeyite,Ca_8_(U^6+^O_2_)_4_(CO_3_)_12_·21H_2_O,Ca<sub>8</sub>(UO<sub>2</sub>)<sub>4</sub>(CO<sub>3</sub>)<sub>12</sub>·21H<sub>2</sub>O,Ca U O C H
Pumpellyite-(Al),"Ca_2_Al_3_(SiO_4_)(Si_2_O_7_)(OH,O)_2_·H_2_O","Ca<sub>2</sub>Al<sub>3</sub>(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)(OH,O)<sub>2</sub>·H<sub>2</sub>O",Ca Al Si O H
Pumpellyite-(Mg),Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_·H_2_O,Ca<sub>2</sub>MgAl<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Ca Mg Al Si O H
Punkaruaivite,LiTi^4+^_2_Si_4_O_11_(OH)_3_·H_2_O,Li{Ti<sub>2</sub>(OH)<sub>2</sub>[Si<sub>4</sub>O<sub>11</sub>(OH)]}·H<sub>2</sub>O,Li Ti O H Si
Pushcharovskite,K_0.6_Cu^2+^_18_[As^5+^O_2_(OH)_2_]_4_[As^5+^O_3_OH]_10_(As^5+^O_4_)(OH)_9.6_·18.6H_2_O,K<sub>0.6</sub>Cu<sub>18</sub>[AsO<sub>2</sub>(OH)<sub>2</sub>]<sub>4</sub>[AsO<sub>3</sub>OH]<sub>10</sub>(AsO<sub>4</sub>)(OH)<sub>9.6</sub>·18.6H<sub>2</sub>O,K Cu As O H
Putnisite,SrCa_4_Cr^3+^_8_(CO_3_)_8_S^6+^O_4_(OH)_16_·25H_2_O,SrCa<sub>4</sub>Cr<sup>3+</sup><sub>8</sub>(CO<sub>3</sub>)<sub>8</sub>(SO<sub>4</sub>)(OH)<sub>16</sub>·25H<sub>2</sub>O,Sr Ca Cr C O S H
Pyatenkoite-(Y),Na_5_Y^3+^Ti^4+^Si_6_O_18_·6H_2_O,Na<sub>5</sub>YTiSi<sub>6</sub>O<sub>18</sub>·6H<sub>2</sub>O,Na Y Ti Si O H
Pyroaurite,Mg_6_Fe^3+^_2_CO_3_(OH)_16_·4H_2_O,Mg<sub>6</sub>Fe<sup>3+</sup><sub>2</sub>(CO<sub>3</sub>)(OH)<sub>16</sub>·4H<sub>2</sub>O,Mg Fe C O H
Qilianshanite,NaH_4_(CO_3_)(BO_3_)·2H_2_O,NaH<sub>4</sub>(CO<sub>3</sub>)(BO<sub>3</sub>)·2H<sub>2</sub>O,Na H C O B
Quenstedtite,Fe^3+^_2_(S^6+^O_4_)_3_·11H_2_O,Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>·11H<sub>2</sub>O,Fe S O H
Quintinite,Mg_4_Al_2_(OH)_12_CO_3_·3H_2_O,Mg<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,Mg Al O H C
Rabbittite,Ca_3_Mg_3_(UO_2_)_2_(CO_3_)_6_(OH)_4_·18H_2_O,Ca<sub>3</sub>Mg<sub>3</sub>(UO<sub>2</sub>)<sub>2</sub>(CO<sub>3</sub>)<sub>6</sub>(OH)<sub>4</sub>·18H<sub>2</sub>O,Ca Mg U O C H
Radovanite,Cu^2+^_2_Fe^3+^(As^3+^O_2_OH)_2_(As^5+^O_4_)·H_2_O,Cu<sub>2</sub>Fe<sup>3+</sup>[As<sup>5+</sup>O<sub>4</sub>][As<sup>3+</sup>O<sub>2</sub>(OH)]<sub>2</sub>·H<sub>2</sub>O,Cu Fe As O H
Raite,Na_3_Mn^2+^_3_Ti^4+^_0.25_Si_8_O_20_(OH)_2_·10H_2_O,Na<sub>3</sub>Mn<sup>2+</sup><sub>3</sub>Ti<sub>0.25</sub>(Si<sub>8</sub>O<sub>20</sub>)(OH)<sub>2</sub>·10H<sub>2</sub>O,Na Mn Ti Si O H
Rakovanite,Na_3_H_3_V^5+^_10_O_28_·15H_2_O,Na<sub>3</sub>{H<sub>3</sub>[V<sub>10</sub>O<sub>28</sub>]}·15H<sub>2</sub>O,Na H V O
Ramanite-(Cs),CsB_5_O_6_(OH)_4_·2H_2_O,CsB<sub>5</sub>O<sub>6</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O,Cs B O H
Ramanite-(Rb),RbB_5_O_6_(OH)_4_·2H_2_O,RbB<sub>5</sub>O<sub>6</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O,Rb B O H
Rameauite,K_2_Ca(U^6+^O_2_)_6_O_6_(OH)_4_·6H_2_O,K<sub>2</sub>Ca(UO<sub>2</sub>)<sub>6</sub>O<sub>6</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,K Ca U O H
Ramsbeckite,Cu^2+^_15_(S^6+^O_4_)_4_(OH)_22_·6H_2_O,Cu<sub>15</sub>(SO<sub>4</sub>)<sub>4</sub>(OH)<sub>22</sub>·6H<sub>2</sub>O,Cu S O H
Rancieite,"(Ca,Mn^2+^)_0.2_(Mn^4+^,Mn^3+^)O_2_·0.6H_2_O","(Ca,Mn<sup>2+</sup>)<sub>0.2</sub>(Mn<sup>4+</sup>,Mn<sup>3+</sup>)O<sub>2</sub>·0.6H<sub>2</sub>O",Ca Mn O H
