mineral_name,rruff_chemistry,chemistry_elements
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Na
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Ca
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Mn
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Ti
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Nb
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Si
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",O
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",Cl
Alluaivite,"Na_19_(Ca,Mn^2+^)_6_(Ti^4+^,Nb^5+^)_3_Si_26_O_74_Cl·2H_2_O",H
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Na
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Ca
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Mn
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Mg
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",Fe
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",P
Alluaudite,"(Na,Ca)(Mn^2+^,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_",O
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Fe
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Al
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,Si
Almandine,Fe^2+^_3_Al_2_(SiO_4_)_3_,O
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Na
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Sr
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",K
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Zn
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Ti
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Nb
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",Si
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",O
Alsakharovite-Zn,"NaSrKZn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·7H_2_O",H
Alstonite,BaCa(CO_3_)_2_,Ba
Alstonite,BaCa(CO_3_)_2_,Ca
Alstonite,BaCa(CO_3_)_2_,C
Alstonite,BaCa(CO_3_)_2_,O
Altaite,Pb^2+^Te^2-^,Pb
Altaite,Pb^2+^Te^2-^,Te
Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",Mg
Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",P
Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",O
Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",H
Althausite,"Mg_4_(PO_4_)_2_(OH,O)(F,[box])",F
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,Al
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,Th
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,U
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,O
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,P
Althupite,AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O,H
Altisite,Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_,Na
Altisite,Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_,K
Altisite,Na_3_K_6_Ti^4+^_2_Al_2_Si_8_O_26_Cl_3_,Ti
