from,to,element_redox_mineral,max_age,num_localities_mineral,mean_pauling,cov_pauling,element_redox_network,mineral_name,color
Plumbojarosite,Pb,NA,4,1,2.476,0.24357848276630764,NA,Plumbojarosite,#800080
Plumbojarosite,Fe+3,3,4,1,2.476,0.24357848276630764,3,Plumbojarosite,#800080
Plumbojarosite,S,NA,4,1,2.476,0.24357848276630764,NA,Plumbojarosite,#800080
Plumbojarosite,O-2,-2,4,1,2.476,0.24357848276630764,-2,Plumbojarosite,#800080
Plumbojarosite,H+1,1,4,1,2.476,0.24357848276630764,1,Plumbojarosite,#800080
Pyrite,Fe+2,2,4,44,2.205,0.2405125106076692,2,Pyrite,#800080
Pyrite,S,NA,4,44,2.205,0.2405125106076692,NA,Pyrite,#800080
Pyrosmalite-(Fe),Fe+2,2,4,1,2.3425000000000002,0.31976970019183726,2,Pyrosmalite-(Fe),#800080
Pyrosmalite-(Fe),Si+4,4,4,1,2.3425000000000002,0.31976970019183726,4,Pyrosmalite-(Fe),#800080
Pyrosmalite-(Fe),O-2,-2,4,1,2.3425000000000002,0.31976970019183726,-2,Pyrosmalite-(Fe),#800080
Pyrosmalite-(Fe),H+1,1,4,1,2.3425000000000002,0.31976970019183726,1,Pyrosmalite-(Fe),#800080
Pyrrhotite,Fe+2,2,4.7,58,2.08,0.2081791836020285,2,Pyrrhotite,#800080
Pyrrhotite,Fe+3,3,4.7,58,2.08,0.2081791836020285,3,Pyrrhotite,#800080
Pyrrhotite,S-2,-2,4.7,58,2.08,0.2081791836020285,-2,Pyrrhotite,#800080
Reevesite,Ni+2,2,4.62,2,2.386,0.27387901286936156,2,Reevesite,#800080
Reevesite,Fe+3,3,4.62,2,2.386,0.27387901286936156,3,Reevesite,#800080
Reevesite,C+4,4,4.62,2,2.386,0.27387901286936156,4,Reevesite,#800080
Reevesite,O-2,-2,4.62,2,2.386,0.27387901286936156,-2,Reevesite,#800080
Reevesite,H+1,1,4.62,2,2.386,0.27387901286936156,1,Reevesite,#800080
Rhonite,Ca+2,2,4.5685,2,1.8042857142857143,0.43429914999369346,2,Rhonite,#800080
Rhonite,Mg+2,2,4.5685,2,1.8042857142857143,0.43429914999369346,2,Rhonite,#800080
Rhonite,Fe+3,3,4.5685,2,1.8042857142857143,0.43429914999369346,3,Rhonite,#800080
Rhonite,Ti+4,4,4.5685,2,1.8042857142857143,0.43429914999369346,4,Rhonite,#800080
Rhonite,O-2,-2,4.5685,2,1.8042857142857143,0.43429914999369346,-2,Rhonite,#800080
Rhonite,Si+4,4,4.5685,2,1.8042857142857143,0.43429914999369346,4,Rhonite,#800080
Rhonite,Al,NA,4.5685,2,1.8042857142857143,0.43429914999369346,NA,Rhonite,#800080
Roaldite,Fe,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite,#800080
Roaldite,Ni,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite,#800080
Roaldite,N,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite,#800080
Schorl,Na+1,1,4,1,1.9928571428571429,0.380543673344398,1,Schorl,#800080
Schorl,Fe+2,2,4,1,1.9928571428571429,0.380543673344398,2,Schorl,#800080
Schorl,Al,NA,4,1,1.9928571428571429,0.380543673344398,NA,Schorl,#800080
Schorl,Si+4,4,4,1,1.9928571428571429,0.380543673344398,4,Schorl,#800080
Schorl,O-2,-2,4,1,1.9928571428571429,0.380543673344398,-2,Schorl,#800080
Schorl,B,NA,4,1,1.9928571428571429,0.380543673344398,NA,Schorl,#800080
Schorl,H+1,1,4,1,1.9928571428571429,0.380543673344398,1,Schorl,#800080
Schreibersite,Fe,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite,#800080
Schreibersite,Ni,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite,#800080
Schreibersite,P,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite,#800080
Siderite,Fe+2,2,4,2,2.6066666666666665,0.30939685625808233,2,Siderite,#800080
Siderite,C,NA,4,2,2.6066666666666665,0.30939685625808233,NA,Siderite,#800080
Siderite,O-2,-2,4,2,2.6066666666666665,0.30939685625808233,-2,Siderite,#800080
