mineral_name,mineral_id,max_age_locality,min_age_locality,mindat_id,locality_longname,age_type
Hydrobiotite,2336,4,2.5,122905,"Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Ilmenite,2378,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Ilmenite,2378,4,2.5,254752,"Pater Mine, Spragge Township, Algoma District, Ontario, Canada",O
Ilmenite,2378,4,2.5,14867,"Little Long Lac Mine, Errington Township, Thunder Bay District, Ontario, Canada",O
Ilmenite,2378,4,2.5,256855,"Beattie-Donchester Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Ilmenite,2378,4,2.5,8598,"Beattie Mine, Duparquet, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Ilmenite,2378,4,2.5,22946,"Sigma Mine (Sigma No. 1 Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Ilmenite,2378,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Ilmenite,2378,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Iron,2487,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Iron,2487,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Iron,2487,4.563,0.021,252448,"Haverö Meteorite, Nauvo, Pargas, Southwest Finland, Finland",O
Iron,2487,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Iron,2487,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Iron,2487,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Isocubanite,2489,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Isocubanite,2489,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Jarosite,2519,4,2.5,251502,"Mount Edgar Osarizawaite Site, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Jarosite,2519,4,2.5,256857,"Lyndhurst Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Kamiokite,2586,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",B
