mineral_name,chemistry_elements
Bartelkeite,Pb
Bartelkeite,Fe
Bartelkeite,Ge
Bartelkeite,O
Bartelkeite,H
Bartonite,K
Bartonite,Fe
Bartonite,S
Barylite,Ba
Barylite,Be
Barylite,Si
Barylite,O
Barysilite,Pb
Barysilite,Mn
Barysilite,Si
Barysilite,O
Barytocalcite,Ba
Barytocalcite,Ca
Barytocalcite,C
Barytocalcite,O
Barytolamprophyllite,Ba
Barytolamprophyllite,K
Barytolamprophyllite,Ti
Barytolamprophyllite,Na
Barytolamprophyllite,Si
Barytolamprophyllite,O
Barytolamprophyllite,H
Bassanite,Ca
Bassanite,S
Bassanite,O
Bassanite,H
Bassetite,Fe
Bassetite,U
Bassetite,O
Bassetite,P
Bassetite,H
Bastnasite-(La),La
Bastnasite-(La),C
Bastnasite-(La),O
Bastnasite-(La),F
Bastnasite-(Y),Y
Bastnasite-(Y),C
Bastnasite-(Y),O
Bastnasite-(Y),F
Batiferrite,Ba
Batiferrite,Ti
Batiferrite,Fe
Batiferrite,O
Batisite,Na
Batisite,Ba
Batisite,Ti
Batisite,Si
Batisite,O
Baumhauerite,Pb
Baumhauerite,As
Baumhauerite,S
Argentobaumhauerite,Ag
Argentobaumhauerite,Pb
Argentobaumhauerite,As
Argentobaumhauerite,S
Baumstarkite,Ag
Baumstarkite,Sb
Baumstarkite,S
Bauranoite,Ba
Bauranoite,U
Bauranoite,O
Bauranoite,H
Bavenite,Ca
Bavenite,Be
Bavenite,Al
Bavenite,Si
Bavenite,O
Bavenite,H
Bayerite,Al
Bayerite,O
Bayerite,H
Bayldonite,Cu
Bayldonite,Pb
Bayldonite,O
Bayldonite,As
Bayldonite,H
Bayleyite,Mg
Bayleyite,U
Bayleyite,O
Bayleyite,C
Bayleyite,H
Baylissite,K
Baylissite,Mg
Baylissite,C
Baylissite,O
Baylissite,H
Bazhenovite,Ca
Bazhenovite,S
Bazhenovite,O
Bazhenovite,H
Bazirite,Ba
Bazirite,Zr
Bazirite,Si
Bazirite,O
Bazzite,Be
Bazzite,Sc
Bazzite,Fe
Bazzite,Mg
Bazzite,Si
Bazzite,O
Bazzite,Na
Bazzite,H
Bearsite,Be
Bearsite,As
Bearsite,O
Bearsite,H
Bearthite,Ca
Bearthite,Al
Bearthite,P
