mineral_name,mineral_id,ima_chemistry,rruff_chemistry
Armangite,937,Mn^2+^<sub>26</sub>[As^3+^<sub>6</sub>(OH)<sub>4</sub>O<sub>14</sub>][As^3+^<sub>6</sub>O<sub>18</sub>]<sub>2</sub>(CO<sub>3</sub>),Mn^2+^_26_As^3+^_18_O_50_(CO_3_)(OH)_4_
Armenite,938,BaCa<sub>2</sub>(Al<sub>6</sub>Si<sub>9</sub>)O<sub>30</sub>·2H<sub>2</sub>O,BaCa_2_(Al_6_Si_9_)O_30_·2H_2_O
Armstrongite,939,CaZr(Si<sub>6</sub>O<sub>15</sub>)·2H<sub>2</sub>O,CaZr^4+^Si_6_O_15_·2H_2_O
Arsenbrackebuschite,941,"Pb<sub>2</sub>(Fe^3+^,Zn)(AsO<sub>4</sub>)<sub>2</sub>(OH,H<sub>2</sub>O)","Pb^2+^_2_(Fe^3+^,Zn^2+^)(As^5+^O_4_)_2_(OH,H_2_O)"
Arsendescloizite,942,PbZn(AsO<sub>4</sub>)(OH),Pb^2+^Zn^2+^As^5+^O_4_(OH)
Arsenic,943,As,As
Arseniopleite,944,"(Ca,Na)NaMn^2+^(Mn^2+^,Mg,Fe^2+^)<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>",CaNaMn^2+^Mn^2+^_2_(As^5+^O_4_)_3_
Arseniosiderite,945,Ca<sub>2</sub>Fe^3+^<sub>3</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_·3H_2_O
Arsenoclasite,946,Mn^2+^<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_
Arsenocrandallite,947,CaAl<sub>3</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)(OH)<sub>6</sub>,CaAl_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
Arsenoflorencite-(Ce),948,CeAl<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Ce^3+^Al_3_(As^5+^O_4_)_2_(OH)_6_
Arsenogorceixite,949,BaAl<sub>3</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)(OH)<sub>6</sub>,BaAl_3_As^5+^O_4_(As^5+^O_3_OH)(OH)_6_
Arsenogoyazite,950,SrAl<sub>3</sub>(AsO<sub>4</sub>)(AsO<sub>3</sub>OH)(OH)<sub>6</sub>,SrAl_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
Arsenohauchecornite,951,Ni<sub>18</sub>Bi<sub>3</sub>AsS<sub>16</sub>,Ni_18_Bi_3_AsS_16_
Arsenolamprite,952,As,As
Arsenolite,953,As<sub>2</sub>O<sub>3</sub>,As^3+^_2_O_3_
Arsenopalladinite,954,Pd<sub>8</sub>As<sub>3</sub>,Pd_8_As_3_
Arsenopyrite,955,FeAsS,Fe^3+^(AsS)^3-^
Arsentsumebite,958,Pb<sub>2</sub>Cu(AsO<sub>4</sub>)(SO<sub>4</sub>)(OH),Pb^2+^_2_Cu^2+^(As^5+^O_4_)(SO_4_)(OH)
Arsenuranospathite,959,Al(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>F·20H<sub>2</sub>O,Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F·20H_2_O
Arsenuranylite,960,Ca(UO<sub>2</sub>)<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Ca(U^6+^O_2_)_4_(As^5+^O_4_)_2_(OH)_4_·6H_2_O
Arthurite,961,CuFe^3+^<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Cu^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_·4H_2_O
Artinite,962,Mg<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>·3H<sub>2</sub>O,Mg_2_CO_3_(OH)_2_·3H_2_O
Artroeite,963,PbAlF<sub>3</sub>(OH)<sub>2</sub>,PbAlF_3_(OH)_2_
Artsmithite,964,Hg^1+^<sub>4</sub>Al(PO<sub>4</sub>)<sub>1.74</sub>(OH)<sub>1.78</sub>,Hg^1+^_4_Al(PO_4_)_1.74_(OH)_1.78_
Asbecasite,967,Ca<sub>3</sub>TiAs<sub>6</sub>Be<sub>2</sub>Si<sub>2</sub>O<sub>20</sub>,Ca_3_Ti^4+^As^3+^_6_Be_2_Si_2_O_20_
Asbolane,968,"Mn^4+^(O,OH)<sub>2</sub>·(Co,Ni,Mg,Ca)_x_(OH)_2x_·nH<sub>2</sub>O","Mn^4+^(O,OH)_2_·(Co^3+^,Ni^2+^,Mg,Ca)_x_(OH)_2x_·nH_2_O"
Aschamalmite,969,Pb_6-3x_Bi_2+x_S<sub>9</sub>,Pb_6-3x_Bi_2+x_S_9_
